key,view,sample,score,hash,file,seed,sunElev,sunAz,massif,coverage,tone,quality,resolutionScale,temporalUpscale,jitter,shadowStep,drawingBuffer,glRenderer,camera
"C6","saved","2","0.409712","9db4b2c573a67757ed67df5a6c30b3d3fb1b89b7f82d9cdb0f754ea7077e80ca","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C6_s02.png","21155","-1.5","-113","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-168.75,241.51,383.95]"
"C6","saved","3","0.203019","1357957bd906aa35ee45f54b464a9a0e3baa7acba6d3bf420d525bec9cb98ebe","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C6_s03.png","21155","-1.5","-113","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-168.75,241.51,383.95]"
"C6","wide","1","0.174423","fb2917e55fd26f8445015198a9122a1e7658dafaca557e417b62158039a26dec","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C6_wide.png","21155","-1.5","-113","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-428.7,419.74,1296.74]"
"C7","saved","1","0.417134","f21097f3efc587d4a3e24d97ac51d65b0d7dee4dadbde736f6b14f11ae8e4ab2","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C7_s01.png","21155","1","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-294.06,450.8,51.87]"
"C7","saved","2","0.513912","b668113ca3dd1890527d24e326a6cc034b7e0995f26418591ef5151de76bef6e","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C7_s02.png","21155","1","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-294.06,450.8,51.87]"
"C7","saved","3","0.403661","daca441a0e9cec5ba9fcdeab7a2d24b16c4473b4ef1ed1d288f61fb1533eb1f7","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C7_s03.png","21155","1","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-294.06,450.8,51.87]"
"C7","wide","1","0.224678","939c226fff57f8adaf0de3a5e29f0c1ab9f8188b02e09dde3796714c1795b2a4","/tmp/clouds-preset-contact-metal-20260529-051122/raw/C7_wide.png","21155","1","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-1087.71,802.18,557.2]"
"D1","saved","1","0.498365","26d1cdf69f93aa17dbc58e0339613215c3c31e8b9c81a74ef1b2e0e92f7a817d","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D1_s01.png","21155","1","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-480.64,109.11,-42.79]"
"D1","saved","2","0.499220","9300c0a714f210a9ef639a655c8c11430a2d29cf3c533972116ef25bbcd56d18","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D1_s02.png","21155","1","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-480.64,109.11,-42.79]"
"D1","saved","3","0.486615","43407a49dd325be1edb47f9a2a1a41140b3fc02a9ed5b2be9ad5a5e70261b666","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D1_s03.png","21155","1","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-480.64,109.11,-42.79]"
"D1","wide","1","0.629324","a941332e2e8d3829d098167b3256ef9d6cefbbcc069100651a945145fc1a8752","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D1_wide.png","21155","1","-47","470","0.4","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-1410.7,157.93,47.65]"
"D2","saved","1","0.693210","ee6390cbf67b2a59bf560889041d7cfa8f6bc81f6fc0b1471e58ea07ea55d92a","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D2_s01.png","21155","1","-57","470","0.33","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-480.64,109.11,-42.79]"
"D2","saved","2","0.695348","1de37a4c876e3ab4ba01fff379a32ca225ad06c06cc9b38b4c5efac790cf19ef","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D2_s02.png","21155","1","-57","470","0.33","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-480.64,109.11,-42.79]"
"D2","saved","3","0.674644","88255c8c947f02aa2d6af1fa057911f5c8b8610cac02915346a0c5658c7c93b2","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D2_s03.png","21155","1","-57","470","0.33","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-480.64,109.11,-42.79]"
"D2","wide","1","0.859511","558fb54e5013effd61c1c56e2d897baeeeb44d93f340e8025a6a3444f53ecce8","/tmp/clouds-preset-contact-metal-20260529-051122/raw/D2_wide.png","21155","1","-57","470","0.33","aces","high","0.75","true","false","100","[3200,1800]","ANGLE (Apple, ANGLE Metal Renderer: Apple M1 Pro, Unspecified Version)","[-1410.7,157.93,47.65]"
